target name	accession	query name	E-value	description of target								"AAA domain, putative AbiEii toxin, Type IV TA system"				17	
WP_003090602.1	PF04828.21	GFA	3.60E-17	Glutathione-dependent formaldehyde-activating enzyme								"Antidote-toxin recognition MazE, bacterial antitoxin"				2	
WP_004350147.1	PF07724.20	AAA_2	3.50E-44	AAA domain (Cdc48 subfamily)								"Antitoxin Phd_YefM, type II toxin-antitoxin system"				9	
WP_003090610.1	PF13353.11	Fer4_12	1.50E-24	4Fe-4S single cluster domain								Bacterial antitoxin of ParD toxin-antitoxin type II system and RHH				1	70
WP_014603861.1	PF13087.12	AAA_12	6.40E-21	AAA domain								"Nucleotidyl transferase AbiEii toxin, Type IV TA system"				3	
WP_196678509.1	PF14267.11	DUF4357	1.60E-21	Domain of unknown function (DUF4357)								"ParE toxin of type II toxin-antitoxin system, parDE"				5	
WP_087819173.1	PF13683.12	rve_3	2.00E-31	Integrase core domain								"Toxin SymE, type I toxin-antitoxin system"				29	
WP_019486382.1	PF23947.1	DUF7281	9.60E-16	Domain of unknown function (DUF7281)								Toxin TumE				1	
WP_003090625.1	PF12128.14	DUF3584	1.00E-112	Protein of unknown function (DUF3584)								"Transcriptional regulator, AbiEi antitoxin, Type IV TA system"				2	
WP_023098562.1	PF13280.11	WYL	1.50E-11	WYL domain								Type VI immunity for VRR-NUC				1	
WP_144032636.1	PF00665.32	rve	3.60E-29	Integrase core domain								[2Fe-2S] binding domain					
WP_003090627.1	PF18766.7	SWI2_SNF2	1.80E-69	SWI2/SNF2 ATPase								37-kD nucleoid-associated bacterial protein					
WP_014603864.1	PF01420.25	Methylase_S	5.60E-18	Type I restriction modification DNA specificity domain								4Fe-4S single cluster domain					
WP_003090631.1	PF00580.27	UvrD-helicase	2.10E-17	UvrD/REP helicase N-terminal domain								5'-nucleotidase					
WP_014603865.1	PF13304.12	AAA_21	8.20E-17	"AAA domain, putative AbiEii toxin, Type IV TA system"								50S ribosome-binding GTPase					
WP_014603866.1	PF02384.22	N6_Mtase	3.20E-89	N-6 DNA Methylase								6-pyruvoyl tetrahydropterin synthase					
WP_014603867.1	PF02384.22	N6_Mtase	2.50E-96	N-6 DNA Methylase								8-oxoguanine DNA glycosylase					
WP_014603868.1	PF02481.20	DNA_processg_A	2.00E-35	DNA recombination-mediator protein A								AAA ATPase domain					
WP_023098559.1	PF00270.35	DEAD	4.20E-23	DEAD/DEAH box helicase								AAA domain					
WP_003090655.1	PF13411.12	MerR_1	8.80E-21	MerR HTH family regulatory protein								AAA domain (Cdc48 subfamily)					
WP_003090661.1	PF00216.26	Bac_DNA_binding	9.10E-32	Bacterial DNA-binding protein								AAA domain (dynein-related subfamily)					
WP_003090664.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								ABC-three component (ABC-3C) system Middle Component 3					
WP_015502744.1	PF03483.22	B3_4	7.10E-73	B3/4 domain								Acetyltransferase (GNAT) domain					
WP_126430329.1	PF14716.12	HHH_8	4.50E-03	Helix-hairpin-helix domain								Acetyltransferase (GNAT) family					
WP_071537465.1	PF24585.1	YunG	9.60E-03	YunG protein								ADP-ribosylation factor family					
WP_078451500.1	PF13936.12	HTH_38	1.10E-18	Helix-turn-helix domain								ADP-ribosylglycohydrolase					
WP_015502749.1	PF14236.11	DruA	5.90E-82	Druantia protein DruA								AIPR protein					
WP_015502751.1	PF09369.15	MZB	6.10E-11	MrfA Zn-binding domain								Aldehyde dehydrogenase family					
WP_078451495.1	PF13245.12	AAA_19	3.80E-05	AAA domain								Alpha/beta hydrolase family					
WP_031685689.1	PF00589.27	Phage_integrase	3.10E-13	Phage integrase family								alpha/beta hydrolase fold					
WP_015502754.1	PF09848.15	SLFN-g3_helicase	4.50E-106	"Schlafen group 3, DNA/RNA helicase domain"								"Aminoglycoside adenylyltransferase, C-terminal domain"					
WP_003155927.1	PF12643.12	MazG-like	9.00E-16	MazG-like family								Aminotransferase class-V					
