Accession	Start	Stop	Size
NC_011770.1	2503361	2549406	46045
NC_023066.1	2461159	2507203	46044
NZ_ATAQ01000035.1	1	35043	35042
NZ_CAADKO010000051.1	1	33961	33960
NZ_CCOA01000022.1	1	37941	37940
NZ_CCOC01000022.1	1	37833	37832
NZ_CCOF01000024.1	1	37941	37940
NZ_CCOI01000025.1	1	37941	37940
NZ_CCOJ01000021.1	1	37833	37832
NZ_CCOL01000030.1	1	37833	37832
NZ_CCOM01000026.1	1	37833	37832
NZ_CCOP01000029.1	1	37833	37832
NZ_CCOS01000024.1	1	37833	37832
NZ_CCOT01000025.1	1	37833	37832
NZ_CCOU01000031.1	1	37941	37940
NZ_CCOV01000026.1	1	37833	37832
NZ_CCOX01000020.1	1	37833	37832
NZ_CCOZ01000025.1	1	37833	37832
NZ_CCPA01000030.1	1	37833	37832
NZ_CCPC01000031.1	1	37833	37832
NZ_CCPD01000027.1	1	37833	37832
NZ_CCPG01000027.1	1	37833	37832
NZ_CCPK01000019.1	1	37833	37832
NZ_CCPL01000020.1	1	37943	37942
NZ_CCVT01000028.1	1	37477	37476
NZ_CP006980.1	2503419	2549464	46045
NZ_CP006981.1	2461177	2507231	46054
NZ_CP006982.1	2503063	2549108	46045
NZ_CP006983.1	2502433	2548478	46045
NZ_CP006984.1	2502986	2549032	46046
NZ_CP006985.1	2487462	2533506	46044
NZ_CP017353.1	2181985	2222079	40094
NZ_CP017353.1	5324839	5370906	46067
NZ_CP030075.1	4526731	4572474	45743
NZ_CP030861.1	3012793	3052887	40094
NZ_CP030861.1	6738872	6779976	41104
NZ_CP034354.1	4081260	4140371	59111
NZ_CP034354.1	5617594	5663659	46065
NZ_CP046069.1	2422929	2468999	46070
NZ_CP050327.1	3343642	3384798	41156
NZ_CP093013.1	69066	107315	38249
NZ_CP093013.1	250592	286566	35974
NZ_CP093020.1	2463251	2509321	46070
NZ_CP093355.1	2463480	2509550	46070
NZ_CP093357.1	2422954	2469024	46070
NZ_CP093358.1	2544532	2590602	46070
NZ_CP094677.1	567706	609631	41925
NZ_CP094677.1	4936285	4974728	38443
NZ_CP096207.1	2846522	2887623	41101
NZ_CP106745.1	2218938	2264983	46045
NZ_CP109843.1	2505227	2551297	46070
NZ_CP110351.1	3691089	3732171	41082
NZ_CP110353.1	2502905	2548950	46045
NZ_CP115239.1	1363134	1412033	48899
NZ_CP115275.1	1242783	1278757	35974
NZ_CP115293.1	1338218	1384288	46070
NZ_CP118641.1	2597372	2643438	46066
NZ_CP127016.1	1653410	1694511	41101
NZ_CP134695.1	2550838	2588848	38010
NZ_CP134695.1	2730802	2770520	39718
NZ_CP140111.1	2525815	2572964	47149
NZ_CP140111.1	3048528	3108095	59567
NZ_CP143897.1	4891596	4932703	41107
NZ_CP143898.1	5529975	5576047	46072
NZ_CP143899.1	996347	1037454	41107
NZ_CP159883.1	2727238	2773304	46066
NZ_CP173021.1	1063387	1122498	59111
NZ_CP173021.1	2709791	2755857	46066
NZ_CP173022.1	1063387	1122498	59111
NZ_CP173022.1	2644736	2690802	46066
NZ_CP173023.1	1063362	1122473	59111
NZ_CP173023.1	2644710	2690776	46066
NZ_CTFH01000014.1	1	39056	39055
NZ_FRNV01000052.1	1	37939	37938
NZ_FRNW01000016.1	1	37943	37942
NZ_FRNX01000069.1	1	37955	37954
NZ_FRNY01000039.1	1	37955	37954
NZ_FRNZ01000080.1	1	37947	37946
NZ_FROA01000074.1	1	37959	37958
NZ_FROB01000028.1	1	34020	34019
NZ_FROC01000091.1	1	37943	37942
NZ_FROD01000105.1	1	37947	37946
NZ_FRRD01000014.1	57066	95315	38249
NZ_FRRD01000014.1	238592	272620	34028
NZ_FRRE01000003.1	57062	95311	38249
