Accession	Start	Stop	Size
NZ_CP136399.1	2753188	2853240	100052
NZ_CATOXV010000010.1	81781	182036	100255
NZ_RXBW01000001.1	63601	163863	100262
NZ_JASKXO010000022.1	473513	573855	100342
NZ_JAFBYA010000003.1	332914	433257	100343
NZ_JAFBYB010000004.1	332914	433257	100343
NZ_JAFBYD010000002.1	332914	433257	100343
NZ_JAFBYL010000002.1	332914	433257	100343
NZ_JAFBYM010000012.1	77077	177420	100343
NZ_JAFBYO010000004.1	332914	433257	100343
NZ_JAFBYU010000003.1	332914	433257	100343
NZ_JAFBYW010000001.1	481809	582152	100343
NZ_JAFBYX010000003.1	332914	433257	100343
NZ_JAFBZH010000007.1	212588	312931	100343
NZ_JAFBZJ010000002.1	330534	430877	100343
NZ_JAFBZO010000002.1	332914	433257	100343
NZ_JAFBZQ010000003.1	334153	434496	100343
NZ_JAJTWH010000024.1	84704	185047	100343
NZ_JASMQY010000005.1	330738	431081	100343
NZ_NFGF01000003.1	206370	306713	100343
NZ_CP030327.1	5882704	5983048	100344
NZ_LLRP01000039.1	61448	161847	100399
NZ_JAREKB010000003.1	82297	182705	100408
NZ_AEVW03000001.1	403182	503597	100415
NZ_LLQY01000001.1	61219	161643	100424
NZ_NSSQ01000002.1	438789	539251	100462
NZ_JTYS01000010.1	84763	185257	100494
NZ_JABLTW010000004.1	135190	235693	100503
NZ_JACEQI010000001.1	472315	572818	100503
NZ_JAOXPA010000002.1	330754	431257	100503
NZ_JASMRA010000005.1	76434	176937	100503
NZ_JAUEED010000005.1	56471	156974	100503
NZ_JAUEEE010000005.1	56468	156971	100503
NZ_JAUEEW010000003.1	422727	523230	100503
NZ_JAUEFA010000002.1	422727	523230	100503
NZ_JAWIXG010000003.1	330176	430679	100503
NZ_JTOK01000029.1	106707	207210	100503
NZ_JTYO01000006.1	330169	430672	100503
NZ_NFFT01000002.1	330227	430730	100503
NZ_NFGB01000005.1	206423	306926	100503
NZ_NFGH01000005.1	33783	134286	100503
NZ_NFGI01000003.1	330206	430709	100503
NZ_NFGJ01000004.1	330206	430709	100503
NZ_NFGK01000004.1	206351	306854	100503
NZ_NFGN01000012.1	33769	134272	100503
NZ_SCWX01000002.1	197904	298407	100503
NZ_RWLZ01000003.1	95685	196230	100545
NZ_JASMQG010000003.1	211330	311993	100663
NZ_JAUEEZ010000002.1	422727	523390	100663
NZ_JAUEFR010000005.1	331233	431896	100663
NZ_CP086064.1	3915048	4015962	100914
NZ_CP013113.1	2668281	2769378	101097
NZ_CP024630.1	2752320	2853417	101097
NZ_JAHERI010000001.1	2623943	2725449	101506
NZ_JAQAQA010000001.1	2623934	2725440	101506
NZ_FRRR01000005.1	28650	130237	101587
NZ_FRRT01000020.1	28648	130235	101587
NZ_QMGP01000001.1	19707	121323	101616
NZ_AFXI01000001.1	3095946	3197630	101684
NZ_JTRJ01000070.1	41096	142780	101684
NZ_AFXJ01000001.1	3081494	3183181	101687
NZ_AFXK01000001.1	3094797	3196485	101688
NZ_CP056092.1	2971205	3072893	101688
NZ_JMKR01000006.1	943118	1045098	101980
NZ_JARDUU010000001.1	313142	415125	101983
NZ_RWPP01000005.1	185996	287979	101983
NZ_RWPR01000003.1	185873	287856	101983
NZ_RWOC01000001.1	137052	239050	101998
NZ_CP056090.1	5474655	5576654	101999
NZ_CP115223.1	2298580	2400581	102001
NZ_CP115224.1	3049011	3151012	102001
NZ_RXBX01000001.1	137051	239052	102001
NZ_CP033771.1	393704	495714	102010
NZ_CP029097.1	4399902	4501913	102011
NZ_CP080280.1	3769449	3871460	102011
NZ_CP106681.1	2793932	2895943	102011
NZ_CP115231.1	559102	661113	102011
NZ_CP096950.1	2383130	2485189	102059
NZ_LFMP01000001.1	488978	591129	102151
NZ_CP115259.1	4367863	4470350	102487
NC_018080.1	2494955	2597444	102489
NZ_AJHI01000009.1	395103	497593	102490
NZ_CP015002.1	2686735	2789470	102735
NZ_JACWGN010000005.1	2199020	2301809	102789
NZ_JALF01000001.1	2669856	2772784	102928
NZ_CP115267.1	4784645	4887607	102962
NZ_JAREJR010000003.1	172279	275241	102962
NZ_RWRU01000002.1	41896	144858	102962
NZ_RWRV01000002.1	40211	143173	102962
NZ_RWRW01000002.1	41896	144858	102962
NZ_RWRX01000001.1	41896	144858	102962
NZ_RWRY01000002.1	41896	144858	102962
NZ_RWRZ01000002.1	46507	149469	102962
NZ_RWSA01000001.1	450365	553327	102962
NZ_LRYS01000022.1	228649	331612	102963
NZ_LRYT01000011.1	256731	359694	102963
NZ_LRYQ01000011.1	228646	331611	102965
NZ_CP008870.2	3498758	3601729	102971
NZ_CP050326.1	4446095	4549066	102971
NZ_CP106682.1	3695600	3798571	102971
NZ_JAATIK010000001.1	4446089	4549060	102971
NZ_JACWID010000001.1	199931	302902	102971
NZ_NSSQ01000002.1	45399	148370	102971
NZ_RXAT01000006.1	167039	270160	103121
NZ_CP115215.1	4089028	4192326	103298
NZ_JALF01000001.1	3062847	3166323	103476
NZ_LVXB01000001.1	2691314	2795795	104481
NZ_CP150883.1	5368494	5473015	104521
NZ_CP021380.2	2654363	2759103	104740
NZ_JTSY01000037.1	223198	328051	104853
NZ_CP015001.1	2654754	2759656	104902
NZ_MWXV01000001.1	775754	880785	105031
NZ_RWSN01000001.1	375458	480489	105031
NZ_RWSO01000001.1	375713	480744	105031
NZ_LFXS01000014.1	284575	389607	105032
NZ_CP106744.1	2753913	2859001	105088
NZ_NSWL01000006.1	146422	251518	105096
